label,qname,qdcount,ancount,arcount,nscount,qd_qname_len,qd_qname_shannon,qd_qtype,an_rrname_len,an_rrname_shannon,an_type,an_ttl,an_rdata_len,an_rdata_shannon,ar_rrname_len,ar_rrname_shanonn,ar_type,ar_rdata_len,ar_rdata_shannon
1,q+Z8D3wnBA.hidemyself.org.,1,0,0,0,26,4.440636352673265,16,0,0,0,0,0,0,0,0,0,0,0
1,q+Z8EHwoCH+YdZP6tFZEBJL8EESh8nfKg517eX95JqBQWN8Et/5bPPFlA3yYWC8.NASTUsnBN2hMWTC2yPpsKFnuhv4MVGm2zpRgHgiDao75NN1vaLgpeFJivZ4D2De.KpebnSy+KHjFG3sdisgydw/NXQj75NaxBcL4mE4/SBLS7roVK7.hidemyself.org.,1,0,0,0,194,5.759339637387005,16,0,0,0,0,0,0,0,0,0,0,0
1,q+Z8EXwpCMeetJb0+cFU6Pxsymw74tXFO6oicrInlzi5E8WUYpWYgfnbI3N4QZb.JdU6dTla2iGFxpZdpI7Pm/S3aly5rZwpbAD5ImS1LCrAazJFicnQAzXrmm3lOMP.00if4ngrrO4FoggdRF/2dfZkFi12fkdgqreXiwcwnkELo85axk.hidemyself.org.,1,0,0,0,194,5.652654761036388,16,0,0,0,0,0,0,0,0,0,0,0
1,q+Z8EnwqCASFZzYPTHPFBeukVtvpOv6ZaAu6dSY3AZOsGRZnH80fwB8nzHGgVGG.dNAVwDwzfziA6nqWLJeTN59eh0WveEAHFNeRBTUF3yxjpCXojk16iB2yiMwIp9W.s+XwV6vfoZIcUAZXT3LREjKeHcL8rv+XrA57XZ8FhbsnQdoX5M.hidemyself.org.,1,0,0,0,194,5.750142438269597,16,0,0,0,0,0,0,0,0,0,0,0
1,q+Z8E3wrCHRfPIO+sx7dwZGeSXqTVf8alEaBuKwUsdJejFfu3i92dh47WR17VKx.+luxd67J6ZmCMFrPMELOqNMc3K7qAtJ9VeVCbZauF/BpcQwDlndwdIznZa2i602.rJwnHzCoydBxeqauGBGZUpjZTCNJ2EpfoE4i5KmoJkwFnD6Lxq.hidemyself.org.,1,0,0,0,194,5.744275572947815,16,0,0,0,0,0,0,0,0,0,0,0
1,q+Z8FHwsCIJ+BCggx8NoFL9XzUjkLKib85veJ55SxRIOFgpvZaDNpPGsBEvCGVP./c6ZJuOltHh27RDt9kflTpCYiwjOKGcqCf7SODtnN/BfiqEwhsPDoeBTXUD1m5c.XKi9BgICBOB4xVo2BjT/VU0ZZfmML0ATUQs6R4pNHhYubcZ1Hd.hidemyself.org.,1,0,0,0,194,5.825997012933802,16,0,0,0,0,0,0,0,0,0,0,0
1,q+Z8FXwtCDp5lDoKV+LIbHX9fsQIzmYVjBXOtem+PXgcF9bc8iYJ3Q6ZTXR4IER.Gj1zKQDKnRC4nrS5bdTt+fTOjV1jEOi/g+9Lb+d6bU8RJXU+/DVopjsCunNdzBd.GTXoQ+Mx0XETsv4SYC0t4ZoXvFKiEOt4F1G/OAAfNf8JU2dAXc.hidemyself.org.,1,0,0,0,194,5.727263253229664,16,0,0,0,0,0,0,0,0,0,0,0
1,q+Z8FnwuCAxyR5bWSRGRP9kEckb8HDtH9vZQ6A/gcFjaJD4siwjfLBMQBoWjybT.FO+zA7bUGZzz/bajgZDfhoCisBPw1ODbFvaG2tHmFQV4GoWObjHd41radGXigws.aZ5lXOi7okLgA4mipY7cBzbO3anbhKA6qQqXBx0a+30yhBMb0K.hidemyself.org.,1,0,0,0,194,5.76776990554886,16,0,0,0,0,0,0,0,0,0,0,0
1,q+Z7/3wXCHL3pVCFPP6OWMhcmwS4LIT2Ue9v2PaMA6r47kI+pquo8XFozYSGyTy.FUuUmK5Tsa3564qMK71WECfnLvEyxedgHvFgSkIwPQH6iV7CYsBs4WemBNQ4YaC.BMsQyzVcZRxyZGIK2G72J9EzTAnyVXS06hSvwgDeYERfMcYNK5.hidemyself.org.,1,1,0,0,194,5.810036559879891,16,194,5.810036559879891,16,3,2,1.0,0,0,0,0,0
1,q+Z8AHwYCDGaJyX5N8GyDcc8TonaT5sQiU3j7vN3a6N99MVts8KRzx77hqTW9nH.SMHACaGjVsBaRJpi3ZXfhtfyZpmmQDCA5GtS1ze2CclkZ/IiUZYLEdXiAS0QeiX.PiIQv79p5AcTtJTNe65Blcc0T2NWLDTUCf+MYlA8ZKW7waDUrs.hidemyself.org.,1,1,0,0,194,5.726831871992899,16,194,5.726831871992899,16,3,2,1.0,0,0,0,0,0
1,q+Z8AXwZCJHs2WvMqinSu7nZVkrgxbA41ryTR/bvqaAVE+u0Z9QOa8QWaWG/u1L.Oyg/PEkgVeKWbTg+gwmqmAxeFskXXhR+dAaBsZ0jGsvMO2QlB17xIsjgdbMdF97.0GyqL7hYm3D8+QUFt0Nr3mjMEu0UsytPrQrlRVoeZwUrGdtrBl.hidemyself.org.,1,1,0,0,194,5.7146435834537215,16,194,5.7146435834537215,16,3,2,1.0,0,0,0,0,0
1,q+Z8AnwaBA.hidemyself.org.,1,1,0,0,26,4.363713275750189,16,26,4.363713275750189,16,3,2,1.0,0,0,0,0,0
1,q+Z8F3wvCAwMcSr20tVV+gDlmSbDssYO1mAKyzDyu77Y641GDQ1chmzMU2ENcKp.PUmsXFaPw/4Cgf1Y3/BRiN3yaxwVmvpFEbe61IUC9OTnS+9cffLE7+XyhmvkcUt.xsogWxplyEmdx43nux9jjdsEWLQNQrUk8Rk7t0SUr6mXP0jIWb.hidemyself.org.,1,0,0,0,194,5.813988796063904,16,0,0,0,0,0,0,0,0,0,0,0
1,q+Z8A3wbBA.hidemyself.org.,1,1,0,0,26,4.363713275750189,16,26,4.363713275750189,16,3,2,1.0,0,0,0,0,0
1,q+Z8BHwcBA.hidemyself.org.,1,1,0,0,26,4.363713275750189,16,26,4.363713275750189,16,3,2,1.0,0,0,0,0,0
1,q+Z8BXwdBA.hidemyself.org.,1,1,0,0,26,4.286790198827112,16,26,4.286790198827112,16,3,2,1.0,0,0,0,0,0
1,q+Z8GHwwBA.hidemyself.org.,1,0,0,0,26,4.363713275750189,16,0,0,0,0,0,0,0,0,0,0,0
1,q+Z8BnweCORdAGL4+W7DB5xH1cUwcwM1gejAQoJF8hbs2Jf6p3n1rvyEqOo+YbO.efc7MB0sNhRa+naKrnyWU7HZVOx5bWal9Bx/ElsQ6c1ZhM8pbCbn7DgBVtLyT5h.nOO6YdYb02gkyNps4dYv0NP+nHdSYx2yXZdh4Qh4wuJbRwf6UV.hidemyself.org.,1,1,0,0,194,5.7528033744748015,16,194,5.7528033744748015,16,3,2,1.0,0,0,0,0,0
1,q+Z8B3wfBA.hidemyself.org.,1,1,0,0,26,4.286790198827112,16,26,4.286790198827112,16,3,2,1.0,0,0,0,0,0
1,q+Z8GXwxBA.hidemyself.org.,1,0,0,0,26,4.440636352673265,16,0,0,0,0,0,0,0,0,0,0,0
1,q+Z8CHwgCMyPHABMWPwbfizHv1WcH9RclfrtcCTQNMck6Eg6fbFtmoMvjBJRnCp.XeN28fhXgT1EicmBYhfPVQ2sIwZYRl5JZPYuXQnLhGCAkUvXVNJ8Ct0CMd5wCPz.NTBHe9e27408L8C6EwuvSljGJRe94cbt53zGuhiMs/V+WRWW1V.hidemyself.org.,1,1,0,0,194,5.726079085174762,16,194,5.726079085174762,16,3,2,1.0,0,0,0,0,0
1,q+Z8CXwhCDQOp1pQiGYfISl7BqfLNQCo7/oMOMCNQ+P6eaWBuOMjimLHg7PY+jn.NQ+1fz8Pal8JOP52zsO25SO/K2Mfr51s7PXsxJvoiZb2Wu988ZEhzkoA/BNLpVS.qhuu1FOsoCf+ChtXTcZm46XWtv/xWabPWIwcpsoRclvr/VanmV.hidemyself.org.,1,1,0,0,194,5.73953493099656,16,194,5.73953493099656,16,3,2,1.0,0,0,0,0,0
1,q+Z8GnwyBA.hidemyself.org.,1,0,0,0,26,4.363713275750189,16,0,0,0,0,0,0,0,0,0,0,0
1,q+Z8G3wzBA.hidemyself.org.,1,0,0,0,26,4.440636352673265,16,0,0,0,0,0,0,0,0,0,0,0
1,q+Z8HHw0CJaFBEu85uL5hjxD//c0i1MsEbWEfjof8yi4p0cYOxnzWZtz/+GpV45.YzfkTKn8Gj6rXkg4wEQnxjdeuIKJhxuvOp/pc3DkrfZi2d6WhkOph6B6ujsFT9R.lCwPkYFSEyeOKIRFiUOtM7Sa46aSVKgEsdlDl9LCHQGtMO10Q1.hidemyself.org.,1,0,0,0,194,5.830021337939607,16,0,0,0,0,0,0,0,0,0,0,0
1,q+Z8HXw1BA.hidemyself.org.,1,0,0,0,26,4.440636352673265,16,0,0,0,0,0,0,0,0,0,0,0
1,q+Z8Hnw2CCU4RD1UKi0irehi6tjWSCyD/HOLcO7Umh8+yOAGinfW9Utw2yiMoZq.FJM4WY95djCzrNmQ59G79kqWviL7ri70vgCpIAvDyG3rM+g0/OdQrqAD7QqpKCj.fCBhKJmukTzYBxMpnxqNAXnIoVoNoydS1thIQ3yvBvSt2qws6/.hidemyself.org.,1,0,0,0,194,5.751507528917354,16,0,0,0,0,0,0,0,0,0,0,0
1,q+Z8H3w3CPAHoesowfkrOsLCsg3tyrqOs1lGjM9ziOMXRjtjrykWoxbanPBLRUn.wLWE786ZBunu3fovCtxEJiA4FC9U/l9EYTyi++YVmvhuSSgWbakPOIlpUah3Nad.NIjajgxFY18V6/sZLftji8rw0FduJC8gH1eMrFOv+p1WvLdVvj.hidemyself.org.,1,0,0,0,194,5.73295089780575,16,0,0,0,0,0,0,0,0,0,0,0
1,q+Z8IHw4CEdhrjxe6XmMbyFjczvk97SNcuGeduIuui+mkxLwv7V7Wqn98svpo8C.m8i0YT/ltbNwzlPQIgwYzhfzEICwpYx4dbRKtkm0MydDLi7/VbaefA/cQDzi+ZS.aBCoOl1w8a5kVtOITbVY9+YsikIZFQ5kBWWe4+XwMQZtKRWDtL.hidemyself.org.,1,0,0,0,194,5.767435206753651,16,0,0,0,0,0,0,0,0,0,0,0
1,q+Z8IXw5CPT+k55pGv81fp8qR625V1hJNNQtohQNcpF9dNVDziNPgw9asHq1jxV.RyboFK5xYq7BokUfM0VSQ/tRiovR99UxlOZ9gbBwAUF8yCA/hj3otUhWPVTEKkW.4Nj/sWogByPTFv68+ZSESnP7BevwYJuml/EJd9N5Ir6lU3NU4R.hidemyself.org.,1,0,0,0,194,5.801271592922824,16,0,0,0,0,0,0,0,0,0,0,0
1,q+Z8CnwiCIaRuw9fzE/xnkiXw4i0YO/U0raXZAH/IHNFqzaNBp82QHp9xhFeTVj.UWJdmcT8wD5iBjMPRAlAVxhlBG5QY8LeDYdNKJjovYSIJaVxHbJ/Ynns6BTGkLx.vT91TWQNgoR4tSH6wOpl7AfXYYEgMKmBo42sgQkMFJ+3bm/pTC.hidemyself.org.,1,1,0,0,194,5.871244307204253,16,194,5.871244307204253,16,3,2,1.0,0,0,0,0,0
